	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
530	530	-96.9553	-17.7728	5735						-5.74711e+06	-1.05426e+06	5740	1	NoVent				0		0	6	Syria Planum
531	531	-96.2534	-16.846	5909	-16.8421	-96.2656	-16.8813	-96.228	338.7	-5.70537e+06	-999535	5914	0	Vent	-42.4966	3150.81	9.30265	0	NotEquant	0	6	Syria Planum
532	532	-96.4399	-16.5456	6059	-16.5256	-96.4683	-16.5728	-96.4033	134.6	-5.71465e+06	-981092	6065	0	Vent	-52.8431	4623.53	34.3501	0	NotEquant	0	6	Syria Planum
533	533	-95.6332	-17.1731	5709	-17.1623	-95.6538	-17.1929	-95.6259	1144.5	-5.66611e+06	-1.01814e+06	5720	0	Vent	-41.0813	2404.8	2.10118	0	NotEquant	0	6	Syria Planum
534	534	-95.8308	-17.6161	5633	-17.6173	-95.836	-17.6578	-95.7989	212.3	-5.67948e+06	-1.04402e+06	5640	0	Vent	-41.2097	3181.64	14.9865	0	NotEquant	0	6	Syria Planum
535	535	-95.6128	-17.5956	5635	-17.5955	-95.6276	-17.6046	-95.612	268.1	-5.66702e+06	-1.04351e+06	5643	0	Vent	-58.6377	1031.3	3.84669	0	NotEquant	0	6	Syria Planum
536	536	-95.3743	-16.9959	5788	-17.0039	-95.3873	-17.0101	-95.3737	221.1	-5.65393e+06	-1.00831e+06	5794	0	Vent	-64.4787	857.804	3.87971	0	NotEquant	0	6	Syria Planum
537	537	-95.309	-17.3105	5631	-17.3032	-95.3276	-17.32	-95.3035	232.9	-5.6476e+06	-1.02727e+06	5632	0	Vent	-53.8434	1685.41	7.23661	0	NotEquant	0	6	Syria Planum
538	538	-95.3743	-17.4389	5598	-17.4403	-95.3882	-17.4693	-95.3573	716.8	-5.65217e+06	-1.0352e+06	5612	0	Vent	-45.4935	2447.93	3.41508	0	NotEquant	0	6	Syria Planum
539	539	-95.4901	-17.9364	5458	-17.9085	-95.5289	-18.0034	-95.4138	274.5	-5.65957e+06	-1.06355e+06	5460	0	Vent	-49.0737	8572.59	31.2298	0	NotEquant	0	6	Syria Planum
540	540	-94.9177	-15.7215	5881	-15.7514	-94.974	-15.7	-94.8815	259.3	-5.6271e+06	-932393	5889	0	Vent	59.9887	6084.57	23.4654	0	NotEquant	0	6	Syria Planum
541	541	-94.6101	-16.5068	5686	-16.5144	-94.6141	-16.5032	-94.617	143.5	-5.6082e+06	-978777	5688	0	Vent	-13.7308	682.587	4.7567	0	NotEquant	0	6	Syria Planum
542	542	-95.1086	-16.7601	5723	-16.7558	-95.1231	-16.7735	-95.0864	232.9	-5.63687e+06	-993587	5726	0	Vent	-63.2515	2327.66	9.99423	0	NotEquant	0	6	Syria Planum
543	543	-95.2589	-17.5764	5535	-17.5702	-95.2704	-17.5826	-95.258	498.8	-5.6489e+06	-1.03987e+06	5563	0	Vent	-43.629	1015.35	2.03558	0	NotEquant	0	6	Syria Planum
544	544	-93.6874	-15.473	5786	-15.4481	-93.7099	-15.483	-93.6846	301.5	-5.55396e+06	-915716	5797	0	Vent	-34.9561	2514.86	8.34115	0	NotEquant	0	6	Syria Planum
545	545	-104.187	-12.4153	6684	-12.4155	-104.25	-12.4169	-104.195	221.1	-6.17589e+06	-736092	6686	0	Vent	-88.4779	3190.9	14.4319	0	NotEquant	0	6	Syria Planum
